suite,space_preset,instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
day1,compilation_only,maxcut_test,0,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,0,0,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,0,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,0,1,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,0,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,0,2,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,0,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,0,3,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,1,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,1,0,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,1,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,1,1,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,1,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,1,2,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,1,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,1,3,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,2,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,2,0,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,2,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,2,1,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,2,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,2,2,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,2,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,2,3,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,3,0,trivial,0,1024,QAOA_p1,3.5302734375,41,78
day1,compilation_only,maxcut_test,3,0,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,3,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,3,1,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,3,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,3,2,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,3,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,3,3,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,4,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,4,0,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,4,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,4,1,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,4,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,4,2,sabre,0,1024,QAOA_p1,3.578125,56,93
day1,compilation_only,maxcut_test,4,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,4,3,sabre,0,1024,QAOA_p1,3.578125,56,93
day1,compilation_only,maxcut_test,5,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,5,0,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,5,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,5,1,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,5,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,5,2,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,5,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,5,3,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,6,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,6,0,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,6,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,6,1,sabre,0,1024,QAOA_p1,3.58203125,39,73
day1,compilation_only,maxcut_test,6,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,6,2,sabre,0,1024,QAOA_p1,3.58203125,52,91
day1,compilation_only,maxcut_test,6,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,6,3,sabre,0,1024,QAOA_p1,3.58203125,52,91
day1,compilation_only,maxcut_test,7,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,7,0,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,7,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,7,1,sabre,0,1024,QAOA_p1,3.58203125,39,73
day1,compilation_only,maxcut_test,7,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,7,2,sabre,0,1024,QAOA_p1,3.58203125,52,91
day1,compilation_only,maxcut_test,7,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,7,3,sabre,0,1024,QAOA_p1,3.58203125,52,91
day1,compilation_only,maxcut_test,8,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,8,0,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,8,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,8,1,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,8,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,8,2,sabre,0,1024,QAOA_p1,3.578125,56,93
day1,compilation_only,maxcut_test,8,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,8,3,sabre,0,1024,QAOA_p1,3.578125,56,93
day1,compilation_only,maxcut_test,9,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,9,0,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,9,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,9,1,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,9,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,9,2,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,9,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,9,3,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,0,0,trivial,0,1024,QAOA_p2,3.1826171875,80,136
day1,compilation_only,maxcut_test,0,0,sabre,0,1024,QAOA_p2,3.240234375,72,133
day1,compilation_only,maxcut_test,0,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,0,1,sabre,0,1024,QAOA_p2,3.240234375,70,129
day1,compilation_only,maxcut_test,0,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,0,2,sabre,0,1024,QAOA_p2,3.240234375,84,154
day1,compilation_only,maxcut_test,0,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,0,3,sabre,0,1024,QAOA_p2,3.240234375,84,154
day1,compilation_only,maxcut_test,1,0,trivial,0,1024,QAOA_p2,3.2548828125,80,136
day1,compilation_only,maxcut_test,1,0,sabre,0,1024,QAOA_p2,3.240234375,72,133
day1,compilation_only,maxcut_test,1,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,1,1,sabre,0,1024,QAOA_p2,3.240234375,72,131
day1,compilation_only,maxcut_test,1,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,1,2,sabre,0,1024,QAOA_p2,3.28515625,88,161
day1,compilation_only,maxcut_test,1,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,1,3,sabre,0,1024,QAOA_p2,3.28515625,88,161
day1,compilation_only,maxcut_test,2,0,trivial,0,1024,QAOA_p2,3.28515625,77,133
day1,compilation_only,maxcut_test,2,0,sabre,0,1024,QAOA_p2,3.240234375,72,133
day1,compilation_only,maxcut_test,2,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,2,1,sabre,0,1024,QAOA_p2,3.240234375,70,129
day1,compilation_only,maxcut_test,2,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,2,2,sabre,0,1024,QAOA_p2,3.240234375,84,154
day1,compilation_only,maxcut_test,2,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,2,3,sabre,0,1024,QAOA_p2,3.240234375,84,154
day1,compilation_only,maxcut_test,3,0,trivial,0,1024,QAOA_p2,3.28515625,77,133
day1,compilation_only,maxcut_test,3,0,sabre,0,1024,QAOA_p2,3.240234375,72,133
day1,compilation_only,maxcut_test,3,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,3,1,sabre,0,1024,QAOA_p2,3.240234375,72,131
day1,compilation_only,maxcut_test,3,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,3,2,sabre,0,1024,QAOA_p2,3.240234375,88,156
day1,compilation_only,maxcut_test,3,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,3,3,sabre,0,1024,QAOA_p2,3.240234375,88,156
day1,compilation_only,maxcut_test,4,0,trivial,0,1024,QAOA_p2,3.1826171875,77,136
day1,compilation_only,maxcut_test,4,0,sabre,0,1024,QAOA_p2,3.240234375,72,133
day1,compilation_only,maxcut_test,4,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,4,1,sabre,0,1024,QAOA_p2,3.240234375,72,131
day1,compilation_only,maxcut_test,4,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,4,2,sabre,0,1024,QAOA_p2,3.240234375,88,156
day1,compilation_only,maxcut_test,4,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,4,3,sabre,0,1024,QAOA_p2,3.240234375,88,156
day1,compilation_only,maxcut_test,5,0,trivial,0,1024,QAOA_p2,3.28515625,77,133
day1,compilation_only,maxcut_test,5,0,sabre,0,1024,QAOA_p2,3.2177734375,77,136
day1,compilation_only,maxcut_test,5,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,5,1,sabre,0,1024,QAOA_p2,3.2177734375,75,134
day1,compilation_only,maxcut_test,5,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,5,2,sabre,0,1024,QAOA_p2,3.240234375,88,156
day1,compilation_only,maxcut_test,5,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,5,3,sabre,0,1024,QAOA_p2,3.240234375,88,156
day1,compilation_only,maxcut_test,6,0,trivial,0,1024,QAOA_p2,3.28515625,77,133
day1,compilation_only,maxcut_test,6,0,sabre,0,1024,QAOA_p2,3.240234375,72,133
day1,compilation_only,maxcut_test,6,1,trivial,0,1024,QAOA_p2,3.1826171875,78,136
day1,compilation_only,maxcut_test,6,1,sabre,0,1024,QAOA_p2,3.240234375,70,129
day1,compilation_only,maxcut_test,6,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,6,2,sabre,0,1024,QAOA_p2,3.240234375,84,154
day1,compilation_only,maxcut_test,6,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,6,3,sabre,0,1024,QAOA_p2,3.240234375,84,154
day1,compilation_only,maxcut_test,7,0,trivial,0,1024,QAOA_p2,3.2275390625,85,136
day1,compilation_only,maxcut_test,7,0,sabre,0,1024,QAOA_p2,3.240234375,72,133
day1,compilation_only,maxcut_test,7,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,7,1,sabre,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,7,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,7,2,sabre,0,1024,QAOA_p2,3.240234375,88,156
day1,compilation_only,maxcut_test,7,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,7,3,sabre,0,1024,QAOA_p2,3.240234375,88,156
day1,compilation_only,maxcut_test,8,0,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,8,0,sabre,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,8,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,8,1,sabre,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,8,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,8,2,sabre,0,1024,QAOA_p2,3.28515625,88,161
day1,compilation_only,maxcut_test,8,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,8,3,sabre,0,1024,QAOA_p2,3.28515625,88,161
day1,compilation_only,maxcut_test,9,0,trivial,0,1024,QAOA_p2,3.1826171875,78,136
day1,compilation_only,maxcut_test,9,0,sabre,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,9,1,trivial,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,9,1,sabre,0,1024,QAOA_p2,3.28515625,72,133
day1,compilation_only,maxcut_test,9,2,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,9,2,sabre,0,1024,QAOA_p2,3.28515625,88,161
day1,compilation_only,maxcut_test,9,3,trivial,0,1024,QAOA_p2,3.28515625,83,153
day1,compilation_only,maxcut_test,9,3,sabre,0,1024,QAOA_p2,3.28515625,88,161
day1,compilation_only,maxcut_test,0,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,0,0,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,0,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,0,1,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,0,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,0,2,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,0,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,0,3,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,1,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,1,0,sabre,0,1024,RandomBaseline,3.4697265625,4,20
day1,compilation_only,maxcut_test,1,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,1,1,sabre,0,1024,RandomBaseline,3.4697265625,4,20
day1,compilation_only,maxcut_test,1,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,1,2,sabre,0,1024,RandomBaseline,3.4697265625,4,20
day1,compilation_only,maxcut_test,1,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,1,3,sabre,0,1024,RandomBaseline,3.4697265625,4,20
day1,compilation_only,maxcut_test,2,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,2,0,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,2,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,2,1,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,2,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,2,2,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,2,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,2,3,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,3,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,3,0,sabre,0,1024,RandomBaseline,3.533203125,4,20
day1,compilation_only,maxcut_test,3,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,3,1,sabre,0,1024,RandomBaseline,3.533203125,4,20
day1,compilation_only,maxcut_test,3,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,3,2,sabre,0,1024,RandomBaseline,3.533203125,4,20
day1,compilation_only,maxcut_test,3,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,3,3,sabre,0,1024,RandomBaseline,3.533203125,4,20
day1,compilation_only,maxcut_test,4,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,4,0,sabre,0,1024,RandomBaseline,3.521484375,4,20
day1,compilation_only,maxcut_test,4,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,4,1,sabre,0,1024,RandomBaseline,3.521484375,4,20
day1,compilation_only,maxcut_test,4,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,4,2,sabre,0,1024,RandomBaseline,3.521484375,4,20
day1,compilation_only,maxcut_test,4,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,4,3,sabre,0,1024,RandomBaseline,3.521484375,4,20
day1,compilation_only,maxcut_test,5,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,5,0,sabre,0,1024,RandomBaseline,3.4736328125,4,20
day1,compilation_only,maxcut_test,5,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,5,1,sabre,0,1024,RandomBaseline,3.4736328125,4,20
day1,compilation_only,maxcut_test,5,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,5,2,sabre,0,1024,RandomBaseline,3.4736328125,4,20
day1,compilation_only,maxcut_test,5,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,5,3,sabre,0,1024,RandomBaseline,3.4736328125,4,20
day1,compilation_only,maxcut_test,6,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,6,0,sabre,0,1024,RandomBaseline,3.533203125,4,20
day1,compilation_only,maxcut_test,6,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,6,1,sabre,0,1024,RandomBaseline,3.533203125,4,20
day1,compilation_only,maxcut_test,6,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,6,2,sabre,0,1024,RandomBaseline,3.533203125,4,20
day1,compilation_only,maxcut_test,6,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,6,3,sabre,0,1024,RandomBaseline,3.533203125,4,20
day1,compilation_only,maxcut_test,7,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,7,0,sabre,0,1024,RandomBaseline,3.47265625,4,20
day1,compilation_only,maxcut_test,7,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,7,1,sabre,0,1024,RandomBaseline,3.47265625,4,20
day1,compilation_only,maxcut_test,7,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,7,2,sabre,0,1024,RandomBaseline,3.47265625,4,20
day1,compilation_only,maxcut_test,7,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,7,3,sabre,0,1024,RandomBaseline,3.47265625,4,20
day1,compilation_only,maxcut_test,8,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,8,0,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,8,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,8,1,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,8,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,8,2,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,8,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,8,3,sabre,0,1024,RandomBaseline,3.4912109375,4,20
day1,compilation_only,maxcut_test,9,0,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,9,0,sabre,0,1024,RandomBaseline,3.509765625,4,20
day1,compilation_only,maxcut_test,9,1,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,9,1,sabre,0,1024,RandomBaseline,3.509765625,4,20
day1,compilation_only,maxcut_test,9,2,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,9,2,sabre,0,1024,RandomBaseline,3.509765625,4,20
day1,compilation_only,maxcut_test,9,3,trivial,0,1024,RandomBaseline,3.52734375,4,20
day1,compilation_only,maxcut_test,9,3,sabre,0,1024,RandomBaseline,3.509765625,4,20
day1,sampling_only,maxcut_test,0,1,sabre,0,16,QAOA_p1,3.25,41,75
day1,sampling_only,maxcut_test,0,1,sabre,1,16,QAOA_p1,3.75,41,75
day1,sampling_only,maxcut_test,0,1,sabre,2,16,QAOA_p1,3.9375,41,75
day1,sampling_only,maxcut_test,0,1,sabre,3,16,QAOA_p1,3.4375,41,75
day1,sampling_only,maxcut_test,0,1,sabre,4,16,QAOA_p1,3.5,41,75
day1,sampling_only,maxcut_test,0,1,sabre,5,16,QAOA_p1,3.3125,41,75
day1,sampling_only,maxcut_test,0,1,sabre,6,16,QAOA_p1,4.0,41,75
day1,sampling_only,maxcut_test,0,1,sabre,7,16,QAOA_p1,3.375,41,75
day1,sampling_only,maxcut_test,0,1,sabre,8,16,QAOA_p1,3.875,41,75
day1,sampling_only,maxcut_test,0,1,sabre,9,16,QAOA_p1,3.125,41,75
day1,sampling_only,maxcut_test,0,1,sabre,10,16,QAOA_p1,3.6875,41,75
day1,sampling_only,maxcut_test,0,1,sabre,11,16,QAOA_p1,3.25,41,75
day1,sampling_only,maxcut_test,0,1,sabre,12,16,QAOA_p1,3.5625,41,75
day1,sampling_only,maxcut_test,0,1,sabre,13,16,QAOA_p1,3.375,41,75
day1,sampling_only,maxcut_test,0,1,sabre,14,16,QAOA_p1,3.75,41,75
day1,sampling_only,maxcut_test,0,1,sabre,15,16,QAOA_p1,3.8125,41,75
day1,sampling_only,maxcut_test,0,1,sabre,16,16,QAOA_p1,3.875,41,75
day1,sampling_only,maxcut_test,0,1,sabre,17,16,QAOA_p1,3.5,41,75
